city,state,station,last_update,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Indore,Madhya Pradesh,"Airport Area, Indore - IMC",2025-05-19 10:00:00,22.7289,75.8076,25.0,41.0,,15.0,10.0,3.0,200.0,Moderately Polluted
Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore - MPPCB",2025-05-19 10:00:00,22.431,75.5213,50.0,82.0,65.0,11.0,25.0,40.0,347.27810650887574,Very Poor
Indore,Madhya Pradesh,"Maguda Nagar, Indore - IMC",2025-05-19 10:00:00,22.7524,75.8872,4.0,24.0,2.0,40.0,32.0,8.0,388.28402366863907,Very Poor
Indore,Madhya Pradesh,"Residency Area, Indore - IMC",2025-05-19 10:00:00,22.7084,75.8815,33.0,43.0,15.0,31.0,15.0,11.0,271.30434782608694,Poor
Indore,Madhya Pradesh,"Vijay Nagar Scheme-78, Indore - Glenmark",2025-05-19 10:00:00,22.76726,75.8871,52.0,40.0,28.0,28.0,,,86.8896321070234,Satisfactory
Jabalpur,Madhya Pradesh,"Govindh Bhavan Colony, Jabalpur - JMC",2025-05-19 10:00:00,23.163174,79.973061,40.0,50.0,36.0,18.0,20.0,62.0,317.98816568047334,Very Poor
Jabalpur,Madhya Pradesh,"Gupteshwar, Jabalpur - JMC",2025-05-19 10:00:00,23.142888,79.916147,44.0,35.0,25.0,8.0,45.0,70.0,455.22613065326635,Severe
Jabalpur,Madhya Pradesh,"Marhatal, Jabalpur - MPPCB",2025-05-19 10:00:00,23.168606,79.932247,43.0,74.0,30.0,19.0,53.0,70.0,495.0251256281407,Severe
Jabalpur,Madhya Pradesh,"Suhagi, Jabalpur - JMC",2025-05-19 10:00:00,23.218135,79.95777,57.0,76.0,56.0,17.0,7.0,93.0,162.40506329113924,Moderately Polluted
Jaipur,Rajasthan,"Adarsh Nagar, Jaipur - RSPCB",2025-05-19 10:00:00,26.902909,75.836858,59.0,76.0,43.0,35.0,45.0,35.0,455.22613065326635,Severe
Jaipur,Rajasthan,"Mansarovar Sector-12, Jaipur - RSPCB",2025-05-19 10:00:00,26.843698,75.766894,30.0,91.0,26.0,3.0,39.0,55.0,425.37688442211055,Severe
Jaipur,Rajasthan,"Police Commissionerate, Jaipur - RSPCB",2025-05-19 10:00:00,26.9164092,75.7994901,,101.0,95.0,9.0,30.0,20.0,376.56804733727813,Very Poor
Jaipur,Rajasthan,"RIICO Sitapura, Jaipur - RSPCB",2025-05-19 10:00:00,26.786682,75.827928,47.0,113.0,31.0,5.0,45.0,45.0,455.22613065326635,Severe
Jaipur,Rajasthan,"Shastri Nagar, Jaipur - RSPCB",2025-05-19 10:00:00,26.9502929,75.730943,70.0,108.0,18.0,19.0,31.0,29.0,382.4260355029586,Very Poor
Jaisalmer,Rajasthan,"Sadar Bazar, Jaisalmer - RSPCB",2025-05-19 10:00:00,26.912329,70.909168,27.0,107.0,3.0,7.0,35.0,29.0,405.47738693467335,Severe
Jalandhar,Punjab,"Civil Line, Jalandhar - PPCB",2025-05-19 10:00:00,31.321907,75.578914,172.0,154.0,32.0,13.0,37.0,65.0,415.42713567839195,Severe
Jalgaon,Maharashtra,"Prabhat Colony, Jalgaon - MPCB",2025-05-19 10:00:00,21.001264,75.565602,66.0,64.0,11.0,12.0,39.0,30.0,425.37688442211055,Severe
Jalore,Rajasthan,"Mudtra Sili, Jalore - RSPCB",2025-05-19 10:00:00,25.344694,72.626208,39.0,79.0,9.0,3.0,13.0,42.0,242.6086956521739,Poor
Jhalawar,Rajasthan,"Rajlaxmi Nagar, Jhalawar - RSPCB",2025-05-19 10:00:00,24.588397,76.172782,107.0,94.0,48.0,13.0,25.0,58.0,347.27810650887574,Very Poor
Jhansi,Uttar_Pradesh,"Shivaji Nagar, Jhansi - UPPCB",2025-05-19 10:00:00,25.4547,78.6039,45.0,71.0,6.0,41.0,11.0,7.0,213.91304347826087,Poor
Jhunjhunu,Rajasthan,"Indra Nagar, Jhunjhunu - RSPCB",2025-05-19 10:00:00,28.108988,75.386577,35.0,102.0,10.0,5.0,15.0,50.0,271.30434782608694,Poor
Jodhpur,Rajasthan,"Collectorate, Jodhpur - RSPCB",2025-05-19 10:00:00,26.268249,73.0193853,59.0,86.0,16.0,12.0,32.0,6.0,388.28402366863907,Very Poor
